번호,상태,회사명,채용정보,채용형태,마감일,조회
101,모집중,한국대학교육협의회,2025년 하반기 한국대학교육협의회 신규직원(계약직) 채용 공고,계약직,2025-07-28,10
100,모집중,한국대학교육협의회,2025년 하반기 한국대학교육협의회 신규직원(무기직) 채용 공고,정규직,2025-07-28,13
99,모집중,동명대학교,학교법인 동명문화학원(동명대학교) 법인사무국 정규직원 신규채용,정규직,2025-07-29,20
98,모집중,한경국립대학교,국립대학육성사업 운영 기간제근로자 채용 공고,계약직,2025-07-21,10
97,모집대기,와이케이스틸,2025년 와이케이스틸 구매팀 채용연계형 인턴 모집,인턴 후 정규직 전환,2025-07-25,13
96,모집중,(주) 다우데이타,[신입/경력] 2025년 3분기 정기채용,정규직,2025-07-28,20
95,모집중,국회예산정책처,국회예산정책처 임기제공무원 채용 연장공고(기획관리관실 정보화담당 주무관),계약직,2025-07-16,11
94,모집중,한국농업기술진흥원,2025년 한국농업기술진흥원 제2차 전문계약직 채용(제한경쟁)공고,계약직,2025-07-24,17
93,모집중,디스코하이테크코리아,[디스코하이테크코리아]2025년 하반기 DISCO 부문별 수시채용(신입/경력)(~07/16까지),정규직,2025-07-16,26
92,모집중,국토교통과학기술진흥원,2025년 제3차 인재채용 NCS기반 능력중심 블라인드 채용 공고,정규직,2025-07-18,39
91,모집중,금정구가족센터,이중언어코치 직원채용 공고,계약직,2025-07-24,23
90,모집중,한국해양교통안전공단,한국해양교통안전공단 신규직원 채용 공고,계약직,2025-07-23,57
89,모집중,(주)코그,[코그] 게임회사 해외 서비스 PM 모집 (경력 무관/ 채용 시 마감),정규직,2025-07-18,36
88,모집중,자동차손해배상진흥원,[자동차손해배상진흥원] 청년인턴 및 보훈특별전형 채용공고,계약직,2025-07-23,21
87,모집중,명지유치원,2025학년도 교육과정 여름방학 중 방과후과정 지원인력 채용,계약직,2025-07-14,20
86,모집중,경농,경농 및 계열사 2025 하반기 신입사원 모집,정규직,2025-07-20,28
85,모집중,(주)본길,모집부문 현장 시험 측정 및 정부 과제 업무 보조,정규직,2025-08-01,21
84,모집중,이커넥트,[채용공고] 이커넥트 신사업 2팀 글로벌 스킨케어 브랜드 mimmua!,인턴 후 정규직 전환,2025-09-01,39
83,모집중,Hanwha Qcells Gerogia  Inc.,[미국인턴/조지아] Hanwha Qcells Gerogia/ Inc. 글로벌 인턴 채용 공고 (상시모집),인턴 후 정규직 전환,2030-07-07,53
82,모집중,전주교육대학교,국가공무원(한시임기제 시설 8호) 경력경쟁채용시험,계약직,2025-07-18,22
81,모집중,국회예산정책처,국회예산정책처 자료분석연구원(RA) 채용공고,계약직,2025-07-14,32
80,모집중,DB Inc.,[DB Inc.]2025년 채용연계형 인턴사원 모집,인턴 후 정규직 전환,2025-07-22,58
79,모집중,경농,경농 및 계열사 2025년 하반기 신입사원 모집,정규직,2025-07-20,27
78,모집중,DN솔루션즈,DN솔루션즈 사무직 신입사원 추천 채용,정규직,2025-07-21,54
77,모집중,국립금오공과대학교,국립금오공과대학교 한시임기제공무원 8호(간호) 경력경쟁채용,계약직,2025-07-18,17
76,모집중,서울AI재단,2025년 제3차 신규직원(정규직·계약직) 채용,정규직,2025-07-21,28
75,모집중,포항소재산업진흥원,재단법인 포항소재산업진흥원 인력 채용,계약직,2025-07-20,34
74,모집중,LG에너지솔루션,[LG에너지솔루션] 2025년 7월 신입 수시채용,정규직,2025-07-14,81
73,모집중,SK하이닉스,2025 SK하이닉스 신입사원 수시 채용(~7/16),정규직,2025-07-16,102
